Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Pass,Parental_Involvement_High,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_High,Access_to_Resources_Low,Access_to_Resources_Medium
14,81,88,1,0,0.0,0.0,1.0,0.0,0.0,1.0
5,96,72,3,0,0.0,0.0,1.0,0.0,1.0,0.0
13,71,73,1,0,0.0,1.0,0.0,0.0,1.0,0.0
19,84,85,1,0,1.0,0.0,0.0,0.0,1.0,0.0
30,83,77,0,0,0.0,1.0,0.0,0.0,0.0,1.0
19,100,66,0,0,0.0,0.0,1.0,0.0,1.0,0.0
26,77,70,2,0,0.0,1.0,0.0,0.0,0.0,1.0
30,76,75,3,1,0.0,0.0,1.0,0.0,0.0,1.0
26,67,86,2,0,0.0,1.0,0.0,1.0,0.0,0.0
19,84,97,2,0,0.0,0.0,1.0,0.0,0.0,1.0
18,70,56,1,0,0.0,0.0,1.0,0.0,0.0,1.0
9,100,79,1,0,0.0,1.0,0.0,0.0,1.0,0.0
20,81,56,1,0,1.0,0.0,0.0,1.0,0.0,0.0
13,61,85,4,0,0.0,0.0,1.0,0.0,1.0,0.0
25,90,83,2,1,1.0,0.0,0.0,1.0,0.0,0.0
5,75,84,0,0,0.0,0.0,1.0,0.0,1.0,0.0
15,64,59,0,0,1.0,0.0,0.0,0.0,0.0,1.0
18,94,87,1,1,0.0,0.0,1.0,0.0,0.0,1.0
20,70,78,0,0,0.0,0.0,1.0,0.0,0.0,1.0
11,100,77,2,1,0.0,1.0,0.0,1.0,0.0,0.0
28,94,64,0,1,0.0,1.0,0.0,0.0,0.0,1.0
19,91,58,2,0,0.0,0.0,1.0,0.0,1.0,0.0
11,79,99,1,0,1.0,0.0,0.0,1.0,0.0,0.0
16,67,98,0,0,1.0,0.0,0.0,0.0,0.0,1.0
19,75,52,0,0,0.0,0.0,1.0,0.0,0.0,1.0
17,82,66,1,0,0.0,0.0,1.0,0.0,0.0,1.0
17,64,74,2,0,1.0,0.0,0.0,0.0,1.0,0.0
25,93,58,0,1,1.0,0.0,0.0,0.0,0.0,1.0
22,61,77,1,0,1.0,0.0,0.0,0.0,0.0,1.0
23,78,81,0,0,0.0,1.0,0.0,1.0,0.0,0.0
18,61,66,1,0,0.0,0.0,1.0,0.0,0.0,1.0
20,79,72,1,0,0.0,0.0,1.0,0.0,0.0,1.0
32,91,66,3,1,1.0,0.0,0.0,0.0,0.0,1.0
26,99,91,2,1,0.0,1.0,0.0,1.0,0.0,0.0
29,96,56,0,1,1.0,0.0,0.0,1.0,0.0,0.0
24,64,85,3,0,0.0,0.0,1.0,0.0,1.0,0.0
21,88,92,2,1,1.0,0.0,0.0,1.0,0.0,0.0
17,98,56,2,0,1.0,0.0,0.0,0.0,0.0,1.0
13,93,62,0,0,0.0,0.0,1.0,1.0,0.0,0.0
30,97,70,0,1,1.0,0.0,0.0,1.0,0.0,0.0
26,67,71,2,0,0.0,1.0,0.0,0.0,0.0,1.0
26,99,67,4,1,0.0,0.0,1.0,0.0,0.0,1.0
18,87,61,2,0,0.0,0.0,1.0,0.0,0.0,1.0
23,91,73,3,0,0.0,1.0,0.0,0.0,0.0,1.0
28,84,81,1,1,0.0,0.0,1.0,0.0,0.0,1.0
13,65,73,0,0,0.0,1.0,0.0,1.0,0.0,0.0
16,72,76,6,0,1.0,0.0,0.0,0.0,0.0,1.0
13,77,62,1,0,0.0,0.0,1.0,0.0,0.0,1.0
18,94,53,4,0,0.0,0.0,1.0,0.0,1.0,0.0
18,76,88,1,0,0.0,0.0,1.0,0.0,0.0,1.0
14,82,94,7,1,0.0,0.0,1.0,1.0,0.0,0.0
22,85,79,5,1,1.0,0.0,0.0,0.0,0.0,1.0
12,79,99,2,0,0.0,0.0,1.0,0.0,0.0,1.0
23,72,99,2,1,0.0,0.0,1.0,1.0,0.0,0.0
17,66,64,0,0,1.0,0.0,0.0,1.0,0.0,0.0
16,94,93,1,0,0.0,0.0,1.0,0.0,0.0,1.0
15,86,77,0,0,1.0,0.0,0.0,0.0,0.0,1.0
27,61,79,1,0,0.0,0.0,1.0,0.0,0.0,1.0
11,81,68,2,0,0.0,1.0,0.0,0.0,0.0,1.0
20,83,78,3,1,1.0,0.0,0.0,1.0,0.0,0.0
11,73,58,0,0,0.0,0.0,1.0,1.0,0.0,0.0
18,78,55,0,0,0.0,0.0,1.0,1.0,0.0,0.0
21,70,74,2,0,0.0,0.0,1.0,0.0,0.0,1.0
11,98,82,1,1,1.0,0.0,0.0,1.0,0.0,0.0
31,100,59,2,1,0.0,0.0,1.0,0.0,0.0,1.0
26,90,71,0,1,1.0,0.0,0.0,1.0,0.0,0.0
13,65,75,2,0,0.0,0.0,1.0,1.0,0.0,0.0
21,83,75,1,0,0.0,0.0,1.0,0.0,1.0,0.0
25,78,91,3,0,1.0,0.0,0.0,0.0,1.0,0.0
19,96,67,4,1,0.0,0.0,1.0,1.0,0.0,0.0
12,94,91,3,1,0.0,0.0,1.0,1.0,0.0,0.0
19,88,66,3,1,1.0,0.0,0.0,1.0,0.0,0.0
28,88,93,3,1,0.0,1.0,0.0,1.0,0.0,0.0
22,68,58,0,0,0.0,0.0,1.0,0.0,1.0,0.0
19,89,64,2,0,1.0,0.0,0.0,0.0,1.0,0.0
20,80,76,0,0,0.0,0.0,1.0,1.0,0.0,0.0
27,76,58,1,0,0.0,0.0,1.0,0.0,0.0,1.0
31,82,98,0,1,0.0,0.0,1.0,1.0,0.0,0.0
13,87,55,1,0,1.0,0.0,0.0,0.0,1.0,0.0
13,85,71,1,0,0.0,1.0,0.0,1.0,0.0,0.0
30,79,84,3,0,0.0,1.0,0.0,0.0,0.0,1.0
20,70,73,0,0,0.0,1.0,0.0,0.0,0.0,1.0
26,73,83,2,1,1.0,0.0,0.0,1.0,0.0,0.0
23,96,99,0,1,0.0,0.0,1.0,0.0,1.0,0.0
29,77,88,0,1,1.0,0.0,0.0,0.0,1.0,0.0
27,63,86,1,0,0.0,0.0,1.0,0.0,0.0,1.0
20,83,58,1,0,1.0,0.0,0.0,1.0,0.0,0.0
21,77,58,0,0,0.0,0.0,1.0,0.0,1.0,0.0
27,74,99,3,1,1.0,0.0,0.0,0.0,0.0,1.0
38,86,79,3,1,0.0,1.0,0.0,1.0,0.0,0.0
20,74,68,3,0,1.0,0.0,0.0,0.0,0.0,1.0
27,87,54,0,1,1.0,0.0,0.0,0.0,0.0,1.0
23,76,84,2,1,0.0,0.0,1.0,0.0,0.0,1.0
19,99,69,1,1,1.0,0.0,0.0,0.0,0.0,1.0
10,82,70,3,0,0.0,0.0,1.0,0.0,1.0,0.0
18,69,54,1,0,0.0,0.0,1.0,0.0,1.0,0.0
28,86,52,0,1,0.0,0.0,1.0,0.0,0.0,1.0
24,77,88,1,1,1.0,0.0,0.0,1.0,0.0,0.0
12,100,65,1,0,0.0,1.0,0.0,0.0,0.0,1.0
28,83,76,1,1,0.0,0.0,1.0,0.0,0.0,1.0
31,81,70,1,1,0.0,0.0,1.0,0.0,0.0,1.0
10,98,82,2,0,0.0,0.0,1.0,0.0,0.0,1.0
17,85,84,3,0,0.0,1.0,0.0,0.0,0.0,1.0
30,96,52,0,1,1.0,0.0,0.0,0.0,0.0,1.0
18,87,60,2,0,0.0,0.0,1.0,0.0,1.0,0.0
19,69,72,1,0,0.0,0.0,1.0,1.0,0.0,0.0
19,88,95,2,0,1.0,0.0,0.0,0.0,0.0,1.0
20,68,91,4,1,0.0,0.0,1.0,1.0,0.0,0.0
19,87,77,3,0,1.0,0.0,0.0,1.0,0.0,0.0
23,76,96,2,0,0.0,1.0,0.0,1.0,0.0,0.0
17,89,62,2,0,0.0,1.0,0.0,0.0,0.0,1.0
17,73,85,3,0,0.0,1.0,0.0,0.0,0.0,1.0
19,67,91,1,0,0.0,0.0,1.0,0.0,0.0,1.0
10,81,85,1,0,0.0,0.0,1.0,0.0,1.0,0.0
28,60,53,3,0,0.0,0.0,1.0,1.0,0.0,0.0
23,63,87,1,0,0.0,0.0,1.0,0.0,1.0,0.0
24,90,55,1,0,0.0,1.0,0.0,0.0,0.0,1.0
19,78,76,2,0,0.0,0.0,1.0,0.0,0.0,1.0
32,96,97,1,1,0.0,0.0,1.0,0.0,1.0,0.0
18,81,70,0,0,0.0,0.0,1.0,0.0,1.0,0.0
27,73,80,3,0,0.0,0.0,1.0,0.0,0.0,1.0
22,61,60,0,0,0.0,0.0,1.0,1.0,0.0,0.0
9,62,58,0,0,0.0,1.0,0.0,1.0,0.0,0.0
24,80,53,2,0,0.0,0.0,1.0,0.0,0.0,1.0
17,68,99,2,0,0.0,0.0,1.0,0.0,1.0,0.0
20,64,80,1,0,0.0,0.0,1.0,0.0,0.0,1.0
28,70,87,3,1,1.0,0.0,0.0,0.0,1.0,0.0
21,68,52,3,0,0.0,0.0,1.0,1.0,0.0,0.0
19,76,53,1,0,1.0,0.0,0.0,0.0,0.0,1.0
22,67,72,3,0,0.0,0.0,1.0,0.0,0.0,1.0
9,61,77,1,1,1.0,0.0,0.0,0.0,0.0,1.0
26,94,55,2,0,0.0,1.0,0.0,0.0,1.0,0.0
11,86,75,1,0,0.0,0.0,1.0,0.0,0.0,1.0
21,79,98,2,0,1.0,0.0,0.0,0.0,1.0,0.0
20,84,68,0,0,1.0,0.0,0.0,0.0,0.0,1.0
31,95,87,2,1,1.0,0.0,0.0,0.0,0.0,1.0
15,76,84,0,0,0.0,0.0,1.0,0.0,0.0,1.0
18,95,50,3,0,0.0,1.0,0.0,0.0,1.0,0.0
19,99,88,1,1,0.0,0.0,1.0,1.0,0.0,0.0
20,69,59,2,0,0.0,0.0,1.0,0.0,1.0,0.0
24,68,71,2,0,0.0,0.0,1.0,0.0,0.0,1.0
24,80,83,1,0,0.0,1.0,0.0,1.0,0.0,0.0
21,63,70,1,0,0.0,0.0,1.0,0.0,0.0,1.0
25,71,98,0,0,0.0,0.0,1.0,0.0,0.0,1.0
31,69,60,1,0,1.0,0.0,0.0,0.0,1.0,0.0
20,63,94,2,0,0.0,0.0,1.0,0.0,0.0,1.0
8,90,73,3,0,0.0,0.0,1.0,0.0,0.0,1.0
20,88,54,0,0,0.0,0.0,1.0,0.0,0.0,1.0
15,78,73,0,0,0.0,0.0,1.0,0.0,0.0,1.0
19,80,54,0,0,1.0,0.0,0.0,0.0,0.0,1.0
21,73,85,6,1,0.0,0.0,1.0,0.0,0.0,1.0
16,65,96,2,0,0.0,1.0,0.0,1.0,0.0,0.0
19,66,59,1,0,0.0,0.0,1.0,1.0,0.0,0.0
14,89,82,2,0,1.0,0.0,0.0,0.0,0.0,1.0
19,61,97,0,0,0.0,0.0,1.0,1.0,0.0,0.0
16,84,86,1,0,0.0,0.0,1.0,1.0,0.0,0.0
17,81,61,2,0,1.0,0.0,0.0,0.0,1.0,0.0
17,83,64,1,0,0.0,1.0,0.0,0.0,0.0,1.0
15,68,55,0,0,0.0,0.0,1.0,1.0,0.0,0.0
16,95,65,0,0,0.0,1.0,0.0,0.0,0.0,1.0
25,70,73,1,0,0.0,1.0,0.0,1.0,0.0,0.0
16,79,67,2,0,0.0,0.0,1.0,0.0,0.0,1.0
31,88,99,2,1,0.0,1.0,0.0,0.0,0.0,1.0
21,73,98,0,0,1.0,0.0,0.0,0.0,0.0,1.0
18,89,90,1,0,0.0,0.0,1.0,0.0,1.0,0.0
19,74,65,1,0,0.0,0.0,1.0,0.0,1.0,0.0
15,90,51,2,0,1.0,0.0,0.0,1.0,0.0,0.0
18,94,52,1,0,0.0,1.0,0.0,0.0,0.0,1.0
19,94,95,3,0,0.0,1.0,0.0,0.0,0.0,1.0
29,96,72,1,1,0.0,0.0,1.0,0.0,1.0,0.0
12,70,81,0,0,0.0,0.0,1.0,1.0,0.0,0.0
19,92,85,1,1,0.0,0.0,1.0,0.0,0.0,1.0
31,76,91,1,1,0.0,0.0,1.0,1.0,0.0,0.0
23,66,83,0,0,0.0,0.0,1.0,1.0,0.0,0.0
26,86,65,0,0,0.0,1.0,0.0,0.0,1.0,0.0
15,71,68,5,0,1.0,0.0,0.0,0.0,1.0,0.0
9,71,89,0,0,0.0,1.0,0.0,1.0,0.0,0.0
26,84,62,3,1,0.0,1.0,0.0,1.0,0.0,0.0
12,99,60,0,0,0.0,0.0,1.0,1.0,0.0,0.0
23,71,79,2,0,1.0,0.0,0.0,0.0,0.0,1.0
23,72,78,1,0,0.0,0.0,1.0,0.0,0.0,1.0
26,83,97,2,1,0.0,0.0,1.0,0.0,0.0,1.0
19,80,67,2,0,1.0,0.0,0.0,1.0,0.0,0.0
20,94,50,1,0,0.0,0.0,1.0,0.0,0.0,1.0
29,76,59,4,1,0.0,0.0,1.0,1.0,0.0,0.0
29,76,60,2,0,0.0,1.0,0.0,1.0,0.0,0.0
19,65,95,2,0,0.0,1.0,0.0,0.0,0.0,1.0
14,98,84,3,1,0.0,0.0,1.0,0.0,0.0,1.0
13,61,68,1,0,1.0,0.0,0.0,0.0,1.0,0.0
25,77,90,1,0,0.0,0.0,1.0,0.0,0.0,1.0
20,85,59,1,0,0.0,0.0,1.0,1.0,0.0,0.0
16,86,62,1,0,0.0,0.0,1.0,0.0,0.0,1.0
21,76,65,2,0,0.0,0.0,1.0,0.0,0.0,1.0
22,73,59,0,0,1.0,0.0,0.0,0.0,0.0,1.0
23,67,71,2,0,0.0,0.0,1.0,0.0,0.0,1.0
18,94,53,3,0,0.0,1.0,0.0,0.0,0.0,1.0
18,72,93,1,0,0.0,0.0,1.0,0.0,0.0,1.0
18,73,75,0,0,0.0,0.0,1.0,0.0,0.0,1.0
25,67,64,0,0,0.0,0.0,1.0,1.0,0.0,0.0
10,92,51,1,0,0.0,1.0,0.0,1.0,0.0,0.0
19,73,64,1,0,0.0,0.0,1.0,0.0,0.0,1.0
24,91,51,2,1,1.0,0.0,0.0,1.0,0.0,0.0
18,62,76,2,0,1.0,0.0,0.0,0.0,0.0,1.0
9,91,88,2,0,0.0,0.0,1.0,0.0,1.0,0.0
14,73,98,2,0,1.0,0.0,0.0,0.0,0.0,1.0
21,92,58,2,1,1.0,0.0,0.0,1.0,0.0,0.0
21,63,60,2,0,1.0,0.0,0.0,0.0,1.0,0.0
17,75,80,1,0,0.0,0.0,1.0,1.0,0.0,0.0
24,89,63,2,1,0.0,0.0,1.0,1.0,0.0,0.0
31,90,61,0,1,1.0,0.0,0.0,1.0,0.0,0.0
21,80,65,2,0,0.0,0.0,1.0,1.0,0.0,0.0
17,68,53,0,0,0.0,1.0,0.0,1.0,0.0,0.0
26,61,70,2,0,0.0,0.0,1.0,0.0,1.0,0.0
17,71,85,2,0,0.0,0.0,1.0,1.0,0.0,0.0
25,72,86,0,0,0.0,0.0,1.0,0.0,0.0,1.0
13,60,66,2,0,0.0,0.0,1.0,0.0,0.0,1.0
19,80,66,4,0,1.0,0.0,0.0,0.0,0.0,1.0
31,68,66,0,0,0.0,1.0,0.0,1.0,0.0,0.0
3,85,73,2,0,0.0,1.0,0.0,1.0,0.0,0.0
30,100,68,2,1,1.0,0.0,0.0,0.0,0.0,1.0
25,87,94,0,1,0.0,0.0,1.0,0.0,0.0,1.0
26,64,74,3,0,1.0,0.0,0.0,0.0,1.0,0.0
11,64,67,1,0,0.0,0.0,1.0,0.0,1.0,0.0
24,93,56,4,1,0.0,0.0,1.0,1.0,0.0,0.0
18,91,69,5,1,1.0,0.0,0.0,0.0,0.0,1.0
22,62,95,2,0,0.0,0.0,1.0,1.0,0.0,0.0
8,71,55,1,0,1.0,0.0,0.0,0.0,0.0,1.0
14,81,71,1,0,0.0,1.0,0.0,0.0,0.0,1.0
20,87,75,0,0,0.0,1.0,0.0,1.0,0.0,0.0
16,62,89,3,0,1.0,0.0,0.0,0.0,0.0,1.0
16,80,76,1,0,1.0,0.0,0.0,0.0,0.0,1.0
19,97,54,0,0,0.0,0.0,1.0,0.0,1.0,0.0
31,73,68,1,1,0.0,0.0,1.0,1.0,0.0,0.0
8,78,84,0,0,1.0,0.0,0.0,0.0,0.0,1.0
26,93,94,1,1,1.0,0.0,0.0,1.0,0.0,0.0
20,82,79,1,0,0.0,0.0,1.0,0.0,0.0,1.0
22,64,52,2,0,0.0,0.0,1.0,1.0,0.0,0.0
18,84,50,4,0,0.0,0.0,1.0,0.0,1.0,0.0
24,88,70,1,0,0.0,1.0,0.0,0.0,0.0,1.0
11,94,94,2,0,0.0,1.0,0.0,0.0,1.0,0.0
28,67,82,1,0,1.0,0.0,0.0,1.0,0.0,0.0
24,66,71,1,0,1.0,0.0,0.0,0.0,0.0,1.0
24,76,72,1,0,1.0,0.0,0.0,0.0,1.0,0.0
25,82,68,1,0,1.0,0.0,0.0,0.0,1.0,0.0
28,91,69,1,1,0.0,0.0,1.0,1.0,0.0,0.0
16,94,76,2,0,0.0,0.0,1.0,0.0,0.0,1.0
22,65,91,2,0,1.0,0.0,0.0,0.0,1.0,0.0
23,71,75,1,0,0.0,1.0,0.0,0.0,1.0,0.0
